"COUNT";"SPECIES";"YEAR";"RawCOUNT";"SCHEME";"NSITE";"NSITE_OBS";"COL_INDEX";"predicted2";"conf.low";"conf.high"
26;"Nymphalidae";2018;26;"CBMS";67;9;0.705729629672152;0.3971;-2.14318506674818;3.1620586512706
27;"Satyrium ilicis";2023;27;"CBMS";109;6;0.247797947873766;0.4124;-2.12788432034443;3.1773061971071
27;"Hipparchia semele";2018;27;"CBMS";66;8;0.553696188987254;0.4124;-2.12788432034443;3.1773061971071
27;"Polyommatus nivescens";2018;27;"CBMS";66;1;1.58636947629266;0.4124;-2.12788432034443;3.1773061971071
27;"Glaucopsyche alexis";2020;27;"CBMS";76;12;0.661118231546159;0.4124;-2.12788432034443;3.1773061971071
27;"Hipparchia semele";2021;27;"CBMS";94;8;0.533999656699581;0.4124;-2.12788432034443;3.1773061971071
28;"Polyommatus fulgens";2018;28;"CBMS";65;2;0.294427310389649;0.4277;-2.11258387141253;3.19255404041546
28;"Danaus chrysippus";2021;28;"CBMS";91;4;0.501352923421776;0.4277;-2.11258387141253;3.19255404041546
28;"Melitaea trivia";2021;28;"CBMS";95;4;0.407961421245024;0.4277;-2.11258387141253;3.19255404041546
28;"Aphantopus hyperantus";2022;28;"CBMS";NA;NA;NA;0.4277;-2.11258387141253;3.19255404041546
