"pool";"year";"trait";"value"
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,504591143
"Filtered";2018;"SSI";0,57629815
"Filtered";2018;"SSI";0,57629815
"Filtered";2018;"SSI";0,57629815
"Filtered";2018;"SSI";0,57629815
"Filtered";2018;"SSI";0,57629815
"Filtered";2018;"SSI";0,92580827
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";0,594496436
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";1,083754933
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,4180997
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";0,923781988
"Filtered";2018;"SSI";1,015825212
"Filtered";2018;"SSI";0,61125112
"Filtered";2018;"SSI";0,61125112
"Filtered";2018;"SSI";1,535636129
"Filtered";2018;"SSI";0,842910187
"Filtered";2018;"SSI";0,909626304
"Filtered";2018;"SSI";1,270025397
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,632486452
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,900357331
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,593677222
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
"Filtered";2018;"SSI";0,696195071
